reas_group,reas_desc,state,category1,spare4
String|Line1 Reasons|Winder2|Accumulator,Full,DOWNTIME,Process Failure - 2404,8131
String|Line1 Reasons|Winder2|Accumulator,Not Ready,DOWNTIME,Process Failure - 2404,8132
String|Line1 Reasons|Winder2|Tail Seal,Not Ready,DOWNTIME,Process Failure - 2404,8133
String|Line1 Reasons|Winder2,Threadup Complete,DOWNTIME,Process Failure - 2404,8134
String|Line1 Reasons|Winder2|Lost Ethernet,Threadup Drive 1,DOWNTIME,Process Failure - 2404,8135
String|Line1 Reasons|Winder2|Lost Ethernet,Threadup Drive 2,DOWNTIME,Process Failure - 2404,8136
String|Line1 Reasons|Winder2,UpperPly Control,DOWNTIME,Process Failure - 2404,8200
String|Line1 Reasons|Winder2|UpperPly Control,Operator Stop,DOWNTIME,Process Failure - 2404,8201
String|Line1 Reasons|Winder2|UpperPly Control,Communication Fault,DOWNTIME,Process Failure - 2404,8210
String|Line1 Reasons|Winder2|UpperPly Control,Parent Roll Expired,DOWNTIME,Process Failure - 2404,8221
String|Line1 Reasons|Winder2|UpperPly Control,Splice Upper Ply,DOWNTIME,Process Failure - 2404,8222
String|Line1 Reasons|Winder2|UpperPly Control,Error Following,DOWNTIME,Process Failure - 2404,8223
String|Line1 Reasons|Winder2|UpperPly Control,Invalid Mode,DOWNTIME,Process Failure - 2404,8224
String|Line1 Reasons|Winder2|UpperPly Control,Future Fault 2225,DOWNTIME,Process Failure - 2404,8225
String|Line1 Reasons|Winder2|UpperPly Control,Future Fault 2226,DOWNTIME,Process Failure - 2404,8226
String|Line1 Reasons|Winder2|UpperPly Control,Future Fault 2227,DOWNTIME,Process Failure - 2404,8227
String|Line1 Reasons|Winder2|UpperPly Control,Future Fault 2228,DOWNTIME,Process Failure - 2404,8228
String|Line1 Reasons|Winder2|UpperPly Control,Future Fault 2229,DOWNTIME,Process Failure - 2404,8229
String|Line1 Reasons|Winder2|UpperPly Control,Future Fault 2230,DOWNTIME,Process Failure - 2404,8230
String|Line1 Reasons|Winder2,Rewind,DOWNTIME,Process Failure - 2404,8300
String|Line1 Reasons|Winder2|Rewind,Operator Stop,DOWNTIME,Process Failure - 2404,8301
String|Line1 Reasons|Winder2|Rewind,Communication Fault,DOWNTIME,Process Failure - 2404,8310
String|Line1 Reasons|Winder2|Rewind,Error Following,DOWNTIME,Process Failure - 2404,8321
String|Line1 Reasons|Winder2|Rewind,Error Following,DOWNTIME,Process Failure - 2404,8322
String|Line1 Reasons|Winder2|Rewind,Error Following,DOWNTIME,Process Failure - 2404,8323
String|Line1 Reasons|Winder2|Rewind,Web Break,DOWNTIME,Process Failure - 2404,8324
String|Line1 Reasons|Winder2|Rewind,No Core,DOWNTIME,Process Failure - 2404,8325
String|Line1 Reasons|Winder2|Rewind,Not Detected,DOWNTIME,Process Failure - 2404,8326
String|Line1 Reasons|Winder2|Rewind,Jammed,DOWNTIME,Process Failure - 2404,8327
String|Line1 Reasons|Winder2|Rewind,Low Core Hopper,DOWNTIME,Process Failure - 2404,8328
String|Line1 Reasons|Winder2|Rewind,Jammed,DOWNTIME,Process Failure - 2404,8329
String|Line1 Reasons|Winder2|Rewind,No Core,DOWNTIME,Process Failure - 2404,8330
String|Line1 Reasons|Winder2|Rewind,Error Following,DOWNTIME,Process Failure - 2404,8331
String|Line1 Reasons|Winder2|Rewind,Error Following,DOWNTIME,Process Failure - 2404,8332
String|Line1 Reasons|Winder2|Rewind,Low Xfer Adhesive,DOWNTIME,Process Failure - 2404,8333
String|Line1 Reasons|Winder2|Rewind,Future Fault 2334,DOWNTIME,Process Failure - 2404,8334
String|Line1 Reasons|Winder2|Rewind,Future Fault 2335,DOWNTIME,Process Failure - 2404,8335
String|Line1 Reasons|Winder2|Rewind,Future Fault 2336,DOWNTIME,Process Failure - 2404,8336
String|Line1 Reasons|Winder2|Rewind,Future Fault 2337,DOWNTIME,Process Failure - 2404,8337
String|Line1 Reasons|Winder2|Rewind,Future Fault 2338,DOWNTIME,Process Failure - 2404,8338
String|Line1 Reasons|Winder2|Rewind,Future Fault 2339,DOWNTIME,Process Failure - 2404,8339
String|Line1 Reasons|Winder2|Rewind,Future Fault 2340,DOWNTIME,Process Failure - 2404,8340
String|Line1 Reasons|Winder2,Extractor,DOWNTIME,Process Failure - 2404,8400
String|Line1 Reasons|Winder2|Extractor,Operator Stop,DOWNTIME,Process Failure - 2404,8401
String|Line1 Reasons|Winder2|Extractor,Communication Fault,DOWNTIME,Process Failure - 2404,8410
String|Line1 Reasons|Winder2|Extractor,Log Not Loaded,DOWNTIME,Process Failure - 2404,8421
String|Line1 Reasons|Winder2|Extractor,Jammed,DOWNTIME,Process Failure - 2404,8422
String|Line1 Reasons|Winder2|Extractor,Jammed,DOWNTIME,Process Failure - 2404,8423
String|Line1 Reasons|Winder2|Extractor,Jammed,DOWNTIME,Process Failure - 2404,8424
String|Line1 Reasons|Winder2|Extractor,No Logs,DOWNTIME,Process Failure - 2404,8425
String|Line1 Reasons|Winder2|Extractor,No Mandrels,DOWNTIME,Process Failure - 2404,8426
String|Line1 Reasons|Winder2|Extractor,Not Extracted,DOWNTIME,Process Failure - 2404,8427
String|Line1 Reasons|Winder2|Extractor,Not Disengaged,DOWNTIME,Process Failure - 2404,8428
String|Line1 Reasons|Winder2|Extractor,Future Fault 2429,DOWNTIME,Process Failure - 2404,8429
String|Line1 Reasons|Winder2|Extractor,Future Fault 2430,DOWNTIME,Process Failure - 2404,8430
String|Line1 Reasons|Winder2|Extractor,Future Fault 2431,DOWNTIME,Process Failure - 2404,8431
String|Line1 Reasons|Winder2|Extractor,Future Fault 2432,DOWNTIME,Process Failure - 2404,8432
String|Line1 Reasons|Winder2|Extractor,Future Fault 2433,DOWNTIME,Process Failure - 2404,8433
String|Line1 Reasons|Winder2|Extractor,Future Fault 2434,DOWNTIME,Process Failure - 2404,8434
String|Line1 Reasons|Winder2|Extractor,Future Fault 2435,DOWNTIME,Process Failure - 2404,8435
String|Line1 Reasons|Winder2|Extractor,Future Fault 2436,DOWNTIME,Process Failure - 2404,8436
String|Line1 Reasons|Winder2|Extractor,Future Fault 2437,DOWNTIME,Process Failure - 2404,8437
String|Line1 Reasons|Winder2|Extractor,Future Fault 2438,DOWNTIME,Process Failure - 2404,8438
String|Line1 Reasons|Winder2|Extractor,Future Fault 2439,DOWNTIME,Process Failure - 2404,8439
String|Line1 Reasons|Winder2|Extractor,Future Fault 2440,DOWNTIME,Process Failure - 2404,8440
String|Line1 Reasons|Winder2,Unwind 1,DOWNTIME,Process Failure - 2404,8500
String|Line1 Reasons|Winder2|Unwind 1,Operator Stop,DOWNTIME,Process Failure - 2404,8501
String|Line1 Reasons|Winder2|Unwind 1,Communication Fault,DOWNTIME,Process Failure - 2404,8510
