Site,Asset Name,MES Ent in ABLE,Type,PLC
Atlanta Main,PML HC5 Case Sealer,None,VIRT,NEW HC5 SLCS PLC
Atlanta Main,PML HC5 Palletizer,None,VIRT,NEW HC5 Palletizer PLC
Atlanta Main,PML HC5 Stretch Wrapper,None,VIRT,NEW HC5 Stretch Wrapper PLC
Atlanta Main,PML HC6 SIPA1,None,VIRT,HC6 SLCS PLC
Atlanta Main,PML HC6 SIPA2,None,VIRT,HC6 SLCS PLC
Atlanta Main,PML HC6 Posijet Airveyor,None,VIRT,HC6 Posijet Airveyor PLC
Atlanta Main,PML HC6 Filler,None,VIRT,HC6 SLCS PLC
Atlanta Main,PML HC6 Capper,None,VIRT,HC6 Capper PLC
Atlanta Main,PML HC6 Labeler,None,VIRT,HC6 Labeler PLC
Atlanta Main,PML HC6 Erector Bliss,None,VIRT,HC6 Erector Bliss PLC
Atlanta Main,PML HC6 Erector Bliss 2,None,VIRT,HC6 Erector Bliss 2 PLC
Atlanta Main,PML HC6 Erector RSC,None,VIRT,HC6 Erector RSC PLC
Atlanta Main,PML HC6 Dog Bone,None,VIRT,HC6 Dog Bone PLC
Atlanta Main,PML HC6 Ind Sealer,None,VIRT,HC6 SLCS PLC
Atlanta Main,PML HC6 Case Sealer,None,VIRT,HC6 SLCS PLC
Atlanta Main,PML HC6 Case Packer,None,VIRT,HC6 Case Packer PLC
Atlanta Main,PML HC6 Palletizer,None,VIRT,HC6 Palletizer PLC
Atlanta Main,PML HC6 Stretch Wrapper,None,VIRT,HC6 Stretch Wrapper PLC
Atlanta Main,FLT HC1 Decaser,None,VIRT,HC1 Decaser PLC
Atlanta Main,FLT HC1 Posiflex,None,VIRT,HC1 Posiflex PLC
Atlanta Main,FLT HC1 Giramat,None,VIRT,HC1 Giramat PLC
Atlanta Main,FLT HC1 Filler-Capper,None,VIRT,New HC1 SLCS PLC
Atlanta Main,FLT HC1 Sleever,None,VIRT,HC1 Sleever PLC
Atlanta Main,FLT HC1 Twin Sleever,None,VIRT,HC1 Twin Sleever PLC
Atlanta Main,FLT HC1 Flexlink Accum,None,VIRT,HC1 Flexlink Accum PLC
Atlanta Main,FLT HC1 Case Packer,None,VIRT,HC1 Case Packer PLC
Atlanta Main,FLT HC1 Case Sealer,None,VIRT,New HC1 SLCS PLC
Atlanta Main,FLT HC1 Palletizer,None,VIRT,HC1 Palletizer PLC
Atlanta Main,FLT HC1 Stretch Wrapper,None,VIRT,HC1 Stretch Wrapper PLC
Atlanta Main,FLT HC2 Decaser,None,VIRT,HC2 SLCS PLC
Atlanta Main,FLT HC2 Posiflex,None,VIRT,HC2 Posiflex PLC
Atlanta Main,FLT HC2 Giramat,None,VIRT,HC2 Giramat PLC
Atlanta Main,FLT HC2 Labeler,None,VIRT,HC2 Labeler PLC
Atlanta Main,FLT HC2 Filler,None,VIRT,HC2 Filler PLC
Atlanta Main,FLT HC2 Capper,None,VIRT,HC2 Capper PLC
Atlanta Main,FLT HC2 Case Packer,None,VIRT,HC2 Case Packer PLC
Atlanta Main,FLT HC2 Case Sealer,None,VIRT,HC2 SLCS PLC
Atlanta Main,FLT HC2 Palletizer,None,VIRT,HC2 Palletizer PLC
Atlanta Main,FLT HC2 Stretch Wrapper,None,VIRT,HC2 Stretch Wrapper PLC
Atlanta Main,NEW_HC3,None,VIRT,None
Atlanta Main,NEW HC3 Capper,None,VIRT,HC3 Capper PLC
Atlanta Main,NEW HC3 Case Packer,None,VIRT,HC3 Case Packer PLC
Atlanta Main,NEW HC3 Filler,None,VIRT,HC3 SLCS PLC
Atlanta Main,NEW HC3 Labeler,None,VIRT,HC3 Labeler PLC
Atlanta Main,NEW HC3 Palletizer,None,VIRT,HC3 Palletizer PLC
Atlanta Main,NEW HC3 Stretch Wrapper,None,VIRT,HC3 Stretch Wrapper PLC
Atlanta Main,NEW HC3 Airveyor,None,VIRT,HC3 SIG Airveyor PLC
Atlanta Main,NEW HC3 SIG Molder,None,VIRT,HC3 SLCS PLC
Atlanta Main,NEW_HC4,None,VIRT,None
Atlanta Main,NEW HC4 Print And Apply,None,VIRT,HC4 Print And Apply PLC
Atlanta Main,NEW HC4 Case Packer,None,VIRT,HC4 Case Packer PLC
Atlanta Main,NEW HC4 Case Sealer,None,VIRT,HC4 SLCS PLC
Atlanta Main,NEW HC4 Decaser,None,VIRT,HC4 SLCS PLC
Atlanta Main,NEW HC4 Dynac,None,VIRT,HC4 Dynac PLC
Atlanta Main,NEW HC4 Filler,None,VIRT,HC4 Filler PLC
Atlanta Main,NEW HC4 Giramat,None,VIRT,HC4 Giramat PLC
Atlanta Main,NEW HC4 Palletizer,None,VIRT,HC4 Palletizer PLC
Atlanta Main,NEW HC4 Posiflex,None,VIRT,HC4 Posiflex PLC
Atlanta Main,NEW HC4 Sleever,None,VIRT,HC4 Sleever PLC
Atlanta Main,NEW HC4 Stretch Wrapper,None,VIRT,HC4 Stretch Wrapper PLC
Atlanta Main,NEW HC4 Trigger Sorter,None,VIRT,HC4 Trigger Sorter PLC
Atlanta Main,NEW HC4 Trigger Inserter,None,VIRT,HC4 Trigger Inserter PLC
Atlanta Main,NEW_HC7,None,VIRT,None
Atlanta Main,NEW HC7 Capper,None,VIRT,HC7 SLCS PLC
Atlanta Main,NEW HC7 Case Packer,None,VIRT,HC7 Case Packer PLC
Atlanta Main,NEW HC7 Case Sealer,None,VIRT,HC7 Case Packer PLC
Atlanta Main,NEW HC7 Decaser,None,VIRT,HC7 Decaser PLC
Atlanta Main,NEW HC7 Filler,None,VIRT,HC7 SLCS PLC
Atlanta Main,NEW HC7 Giramat,None,VIRT,HC7 Giramat PLC
Atlanta Main,NEW HC7 Palletizer,None,VIRT,HC7 Palletizer PLC
Atlanta Main,NEW HC7 Print And Apply,None,VIRT,HC7 SLCS PLC
Atlanta Main,NEW HC7 Sleever,None,VIRT,HC7 Sleever PLC
Atlanta Main,NEW HC7 Stretch Wrapper,None,VIRT,HC7 Stretch Wrapper PLC
Atlanta Main,NEW_LD1,None,LINE,None
Atlanta Main,NEW LD1 Depal,None,SEC,LD1 Depal PLC
