reas_group,reas_desc,state,category1,spare4
String|Retort|CHARRING|3007 - Furnace Cyc Rot,#3007 Furn.Cyc. Rot  Alm,DOWNTIME,None,120167
String|Retort|CHARRING|3007 - Furnace Cyc Rot,Furn.Cyc. Rot 2 High Amps,DOWNTIME,None,120190
String|Retort|CHARRING|3007 - Furnace Cyc Rot,#3007 Furn.Cyc. Rot  Breaker,DOWNTIME,None,120201
String|Retort|CHARRING|3007 - Furnace Cyc Rot,#3007 Furn.Cyc. Rot Disc. Sw,DOWNTIME,None,120211
String|Retort|CHARRING|3007 - Furnace Cyc Rot,#3007 Furn.Cyc. Rot Overloads,DOWNTIME,None,120221
String|Retort|CHARRING|3007 - Furnace Cyc Rot,#3007 Furn.Cyc. Rot SSL,DOWNTIME,None,120229
String|Retort|CHARRING|3008 - Furnace Disc Screw,#3008 Furn.Dis Scr 2 Alm,DOWNTIME,None,120168
String|Retort|CHARRING|3008 - Furnace Disc Screw,Furn.Dis Scr 2  High Amps,DOWNTIME,None,120191
String|Retort|CHARRING|3008 - Furnace Disc Screw,#3008 Furn.Dis Scr 2  Breaker,DOWNTIME,None,120202
String|Retort|CHARRING|3008 - Furnace Disc Screw,#3008 Furn.Dis Scr 2 Disc. Sw,DOWNTIME,None,120212
String|Retort|CHARRING|3008 - Furnace Disc Screw,#3009 Furn.Dis Scr 2 Overloads,DOWNTIME,None,120222
String|Retort|CHARRING|3008 - Furnace Disc Screw,#3008 Furn.Dis Scr 2 SSL,DOWNTIME,None,120230
String|Retort|CHARRING|3009 - Furnace Disc Screw,Furn.Dis Scr #3  Alm,DOWNTIME,None,120169
String|Retort|CHARRING|3009 - Furnace Disc Screw,Furn.Dis Scr #3 H-O-A,DOWNTIME,None,120180
String|Retort|CHARRING|3009 - Furnace Disc Screw,Furn.Dis Scr #3  High Amps,DOWNTIME,None,120192
String|Retort|CHARRING|3009 - Furnace Disc Screw,Furn.Dis Scr #3  Breaker,DOWNTIME,None,120203
String|Retort|CHARRING|3009 - Furnace Disc Screw,Furn.Dis Scr #3  Disc. Sw,DOWNTIME,None,120213
String|Retort|CHARRING|3009 - Furnace Disc Screw,Furn.Dis Scr #3 Overloads,DOWNTIME,None,120223
String|Retort|CHARRING|3009 - Furnace Disc Screw,Furn.Dis Scr #3  SSL,DOWNTIME,None,120231
String|Retort|CHARRING|3010 - Furnace Disc Screw,Furn.Dis Scr 4 Alm,DOWNTIME,None,120170
String|Retort|CHARRING|3010 - Furnace Disc Screw,Furn.Dis Scr 4 H-O-A,DOWNTIME,None,120181
String|Retort|CHARRING|3010 - Furnace Disc Screw,Furn.Dis Scr 4 High Amps,DOWNTIME,None,120193
String|Retort|CHARRING|3010 - Furnace Disc Screw,Furn.Dis Scr 4 Breaker,DOWNTIME,None,120204
String|Retort|CHARRING|3010 - Furnace Disc Screw,Furn.Dis Scr 3 Disc. Sw,DOWNTIME,None,120214
String|Retort|CHARRING|3010 - Furnace Disc Screw,Furn.Dis Scr 4 Overloads,DOWNTIME,None,120224
String|Retort|CHARRING|3010 - Furnace Disc Screw,Furn.Dis Scr 4 SSL,DOWNTIME,None,120232
String|Retort|CHARRING|3100 - Furnace Burners,Furnace Burners Hi Temp Limit,DOWNTIME,None,120183
String|Retort|CHARRING|31021 - Hearth Burner,Hearth 1 Burner 1 Flame Fail,DOWNTIME,None,120173
String|Retort|CHARRING|31022 - Hearth Burner,Hearth 2 Burner 2 Flame Fail,DOWNTIME,None,120174
String|Retort|CHARRING|31031 - Hearth Burner,Hearth 3 Burner 1 Flame Fail,DOWNTIME,None,120175
String|Retort|CHARRING|31032 - Hearth Burner,Hearth 3 Burner 2 Flame Fail,DOWNTIME,None,120176
String|Retort|CHARRING|31041 - Hearth Burner,Hearth 4 Burner 1 Flame Fail,DOWNTIME,None,120177
String|Retort|CHARRING|31042 - Hearth Burner,Hearth 4 Burner 2 Flame Fail,DOWNTIME,None,120178
String|Retort|CHARRING|31061 - Duct Blower,Ductblower #1 Fault,DOWNTIME,None,120235
String|Retort|CHARRING|31071 - Duct Blower,Ductblower #2 Fault,DOWNTIME,None,120236
String|Retort|CHARRING|3301 - Furnace Slidegate,#3301Fur Fdscr Sld Gate Ls Alarm,DOWNTIME,None,120171
String|Retort|CHARRING|3301 - Furnace Slidegate,#3301Fur Fdscr Sld Gate Ls Alarm,DOWNTIME,None,120172
String|Retort|CHARRING|3301 - Furnace Slidegate,#3301 HOA,DOWNTIME,None,120182
String|Retort|CHARRING|4001 - Furnace Screw,#4001 Fur Screw Alm,DOWNTIME,None,120241
String|Retort|CHARRING|4001 - Furnace Screw,Furn.Screw High Amps,DOWNTIME,None,120255
String|Retort|CHARRING|4001 - Furnace Screw,#4001 Fur Screw Breaker,DOWNTIME,None,120269
String|Retort|CHARRING|4001 - Furnace Screw,#4001 Fur Screw Disc. Sw,DOWNTIME,None,120278
String|Retort|CHARRING|4001 - Furnace Screw,#4001 Fur Screw Overloads,DOWNTIME,None,120287
String|Retort|CHARRING|4001 - Furnace Screw,#4001 Fur Screw SSL,DOWNTIME,None,120298
String|Retort|CHARRING|4002 - Cooling Screw,#4002 Cooling Scr Alm,DOWNTIME,None,120242
String|Retort|CHARRING|4002 - Cooling Screw,Cooling Scr High Amps,DOWNTIME,None,120256
